product_code,product_name,category1,category2,description,image1,image2,image3,image4,image5,imageUrl6,imageUrl7,imageUrl8,imageUrl9,imageUrl10,video,availability,pageUrl,scrape_date,supplier
PICCADILLY ESSENTIAL,PICCADILLY ESSENTIAL,softgoods,Pillows,"
				<p>



Inspired by the global leading city of London, this pillow unites some of the English capital's most special features, such as the foggy weather for which it is known and the cultural and commercial importance it holds in the world. This is a must-have in any home decor, for it is subtle but the perfect product to make a difference in your exclusive design.



<br></p>			",https://www.brabbu.com/resources/images/products/488/gallery/A04_540x505.jpg,,,,,,,,,,,Made by Order,https://www.brabbu.com/product/pillows/piccadilly/essential/,20/04/2023,brabbu
PISGAH ESSENTIAL,PISGAH ESSENTIAL,softgoods,Pillows,"
				<p>









</p><p></p>



The name of the National Forest near North Carolina is also the name of this new deco element designed by BRABBU. As the location of the Brown Mountains, it served as an inspiration for this rectangular pillow filled with character. The pillow embodies the grandiosity of the mountains and the simplicity and beauty of the forest and is a singular and essential detail in any home decor.



<br><p></p>			",https://www.brabbu.com/resources/images/products/490/gallery/BN022_540x505.jpg,,,,,,,,,,,Made by Order,https://www.brabbu.com/product/pillows/pisgah/essential/,20/04/2023,brabbu
SAKURA ESSENTIAL,SAKURA ESSENTIAL,softgoods,Pillows,"
				<p>









</p><p></p>



Inspired by the cherry blossom trees, known to be the national flower of Japan, this pillow is a tribute to the ephemeral nature of life, an aspect of life commonly associated with Buddhism in Japan. Both the flower and the pillow are exquisitely beautiful and volatile. The new SAKURA Pillow is an element that will immediately improve your home decor simply by being in it.



<br><p></p>			",https://www.brabbu.com/resources/images/products/494/gallery/N08_540x505.jpg,,,,,,,,,,,Made by Order,https://www.brabbu.com/product/pillows/sakura/essential/,20/04/2023,brabbu
YO ESSENTIAL,YO ESSENTIAL,softgoods,Pillows,"
				<p>









</p><p>



In the Nordic countries, especially Finland and more specifically Lapland, there is a period in the winter when the night prevails. The sun doesn’t rise in Lapland, so there is a memorable opportunity to watch the glowing ""Northern Lights"". This dark and incredible phenomenon of the nightless nights is the inspiration for this unique item of home decoration.



</p><p></p>			",https://www.brabbu.com/resources/images/products/496/gallery/BW012_540x505.jpg,,,,,,,,,,,Made by Order,https://www.brabbu.com/product/pillows/yo/essential/,20/04/2023,brabbu
ANTRIM GEOMETRIC,ANTRIM GEOMETRIC,softgoods,Pillows,"
				<p>



In honour of County Antrim, Northern Ireland, famous for the Giant Causeway (home of nature's hexagonal basalt columns), our designers found inspiration to adapt ancient forms of nature into a modern pillow that belongs in any home decor, no matter how elegant or eccentric.



<br></p>			",https://www.brabbu.com/resources/images/products/492/gallery/N09n.jpg,https://www.brabbu.com/resources//images/products/492/gallery/previews/N09.jpg,,,,,,,,,,Made by Order,https://www.brabbu.com/product/pillows/antrim/geometric/,20/04/2023,brabbu
BOWLINE ORANGE GEOMETRIC,BOWLINE ORANGE GEOMETRIC,softgoods,Pillows,"
				<p></p><p></p><p></p>



The bowline knot is the most important knot in the sailing world. Just like it secures the sheet to safely control the sail, this orange pattern assures us that, whichever the home decor is chosen, it always controls the good vibes and sensations. It is a very sophisticated item of decoration that goes well with every colour.



<br><p></p>			",https://www.brabbu.com/resources/images/products/498/gallery/M005q.jpg,https://www.brabbu.com/resources//images/products/498/gallery/previews/M005.jpg,,,,,,,,,,Made by Order,https://www.brabbu.com/product/pillows/bowline-orange/geometric/,20/04/2023,brabbu
BOWLINE BROWN GEOMETRIC,BOWLINE BROWN GEOMETRIC,softgoods,Pillows,"
				<p></p><p></p>



The bowline knot is the most important knot in the sailing world. Just like it secures the sheet to safely control the sail, this brown pattern assures us that, whichever the home decor is chosen, it always controls the good vibes and sensations. It is a very sophisticated item of decoration that goes well with every colour.



<br><p></p>			",https://www.brabbu.com/resources/images/products/497/gallery/BW09b.jpg,https://www.brabbu.com/resources//images/products/497/gallery/previews/BW09.jpg,,,,,,,,,,Made by Order,https://www.brabbu.com/product/pillows/bowline-brown/geometric/,20/04/2023,brabbu
BOWLINE BLUE GEOMETRIC,BOWLINE BLUE GEOMETRIC,softgoods,Pillows,"
				<p></p><p></p>



The bowline knot is the most important knot in the sailing world. Just like it secures the sheet to safely control the sail, this blue pattern assures us that, whichever the home decor is chosen, it always controls the good vibes and sensations. It is a very sophisticated item of decoration that goes well with every colour.



<br><p></p>			",https://www.brabbu.com/resources/images/products/495/gallery/B010b.jpg,https://www.brabbu.com/resources//images/products/495/gallery/previews/B010.jpg,,,,,,,,,,Made by Order,https://www.brabbu.com/product/pillows/bowline-blue/geometric/,20/04/2023,brabbu
BOWLINE I YELLOW GEOMETRIC,BOWLINE I YELLOW GEOMETRIC,softgoods,Pillows,"
				<p></p><p></p><p></p>



The bowline knot is the most important knot in the sailing world. Just like it secures the sheet to safely control the sail, this yellow pattern assures us that, whichever the home decor is chosen, it always controls the good vibes and sensations. It is a very sophisticated item of decoration that goes well with every colour.



<br><p></p>			",https://www.brabbu.com/resources/images/products/499/gallery/Y04q.jpg,https://www.brabbu.com/resources//images/products/499/gallery/previews/Y04.jpg,,,,,,,,,,Made by Order,https://www.brabbu.com/product/pillows/bowline-i-yellow/geometric/,20/04/2023,brabbu
CORIOLUS GREY GEOMETRIC,CORIOLUS GREY GEOMETRIC,softgoods,Pillows,"
				<p></p><p></p><p></p><p></p>





The Coriolus Versicolor is a striped mushroom that differentiates from the rest of its kind with its striped top that blends beautifully with any background. Through the unlikely conjugations of colour in each fabric, this grey pillow creates daring and harmonious results that stand out from any interior design style.




<br><p></p>			",https://www.brabbu.com/resources/images/products/502/gallery/BN024b.jpg,https://www.brabbu.com/resources//images/products/502/gallery/previews/BN024.jpg,,,,,,,,,,Made by Order,https://www.brabbu.com/product/pillows/coriolus-grey/geometric/,20/04/2023,brabbu
